"Date","Candidates","NewsDesk","Category","Headline","SentScore(headline)","SentScore(snippet)","SentScore(lead)","SentScore(avg)","Count"
"2020-01-27","Buttigieg","editorial","opinion","When Pete Buttigieg Came to Visit",0.0,0.32,0.46,0.26,428
"2020-01-27","Sanders","politics","politics","Bernie Sanders and His Internet Army",0.0,-0.77,0.13,-0.21,3118
"2020-01-27","Biden","washington","politics","Lawyers begin their assault on Joe Biden and his son Hunter.",-0.59,-0.2,0.36,-0.14,307
"2020-01-26","Sanders","politics","politics","Sanders ponders what could have been.",0.0,0.0,0.0,0.0,214
"2020-01-26","Biden","politics","politics","Biden told a teenager to ‘come back and visit.’ 47 years later, she did.",0.0,0.0,0.0,0.0,191
"2020-01-26","Biden","politics","politics","Biden has made a few misleading claims recently. Here’s a look.",-0.4,0.57,0.0,0.06,67
"2020-01-26","Warren","politics","politics","‘Women win’: Elizabeth Warren makes her electability pitch.",0.0,0.57,0.28,0.28,214
"2020-01-26","Buttigieg","politics","politics","A Klobuchar endorser switches to Buttigieg? Not quite.",0.0,0.0,0.75,0.25,307
"2020-01-26","Bloomberg","politics","politics","Bloomberg Warns of Anti-Semitism ‘Rearing Its Ugly Head’",-0.57,0.61,0.61,0.22,1323
"2020-01-26","Biden","national","politics","Fact-Checking Joe Biden Before the Iowa Caucuses",0.0,0.34,0.18,0.17,2269
"2020-01-27","Warren","politics","politics","‘There’s a shift occurring’: Ayanna Pressley stumps for Warren in South Carolina.",0.0,0.4,0.73,0.38,238
"2020-01-27","Biden","upshot","opinion","Biden’s Iowa Problem: Our Poll Suggests His Voters Aren’t the Caucusing Type",-0.4,0.0,0.0,-0.13,1340
"2020-01-26","Sanders","politics","politics","Sanders returns to Iowa: ‘I am really delighted to be here.’",0.56,0.0,0.0,0.19,258
"2020-01-26","Buttigieg","politics","politics","Pete Buttigieg remembers Kobe Bryant as an ‘extraordinary athlete.’",0.0,0.42,-0.6,-0.06,232
"2020-01-27","Bloomberg","politics","politics","In Florida speech, Bloomberg warns about rising anti-Semitism.",-0.1,-0.9,0.61,-0.13,407
"2020-01-27","Biden","politics","politics","Biden debuts his smallest, and cutest, campaign surrogate yet.",0.59,0.0,0.05,0.21,187
"2020-01-27","Bloomberg","politics","politics","Bloomberg Is Taunting Trump, and Trump Is Taking the Bait",0.0,-0.77,0.0,-0.26,1563
"2020-01-26","Biden","politics","politics","Biden picks up a helpful (and rare) newspaper endorsement.",0.62,0.28,0.3,0.4,206
"2020-01-26","Biden","politics","politics","‘I was raised in the black church politically,’ Biden says at N.A.A.C.P. event.",0.0,0.8,0.49,0.43,205
"2020-01-27","Biden","washington","politics","Trump denies Bolton’s account linking Ukraine’s aid to Biden investigations.",-0.42,0.0,0.0,-0.14,94
"2020-01-26","Warren","politics","politics","Des Moines Register Endorses Elizabeth Warren as Iowa Caucuses Approach",0.34,0.81,0.74,0.63,729
"2020-01-27","Buttigieg","politics","politics","How Pete Buttigieg Tailors His Message to Black and White Voters",0.0,0.4,0.13,0.18,1527
"2020-01-28","Biden","politics","politics","Joni Ernst Asks if Impeachment Trial Will Turn Iowa Caucusgoers Against Biden. They Answer.",0.0,0.0,0.39,0.13,1050
"2020-01-29","Biden","washington","politics","Joe Manchin, a Democrat, is open to calling Hunter Biden.",0.0,0.0,0.56,0.19,282
"2020-01-29","Biden","editorial","opinion","When Joe Biden Came to Visit",0.0,0.0,0.46,0.15,443
"2020-01-29","Biden","politics","politics","Biden Plans a Counterattack at Trump as Impeachment Tensions Rise",-0.4,0.0,-0.59,-0.33,563
"2020-01-29","Biden","washington","politics","Senators ask when the president wanted to pursue an investigation of the Bidens.",0.0,0.46,0.46,0.31,168
"2020-01-29","Bloomberg","politics","politics","As Other Democrats Feud, Bloomberg Hammers Trump on Health Care",0.2,-0.66,-0.69,-0.38,1506
"2020-01-27","Biden","washington","politics","In Iowa, Biden says he has nothing to defend.",0.0,0.0,-0.48,-0.16,185
"2020-01-27","Sanders","politics","politics","In Iowa, the ‘Not Sanders’ Democrats Find Voters Torn",-0.25,0.18,0.48,0.13,1667
"2020-01-29","Warren","business","business","Warren Buffett Will Sell His Newspaper Empire",0.0,0.34,0.27,0.2,240
"2020-01-29","Sanders","politics","politics","Super PAC Attacks Sanders in an Ad. Sanders Raises $1.3 Million in a Day.",0.25,0.49,0.68,0.47,557
"2020-01-28","Biden","washington","politics","In Iowa, Biden seizes on Republican senator’s comments.",0.0,0.0,-0.73,-0.24,200
"2020-01-28","Biden","magazine","other","Is a Good-Enough Candidacy Good Enough for Joe Biden?",0.44,0.62,-0.49,0.19,5334
"2020-01-28","Biden","washington","politics","Republican senator suggests White House defense could hurt Biden in Iowa caucuses.",-0.44,0.0,-0.27,-0.24,200
"2020-01-28","Sanders","politics","politics","Pro-Israel Democratic Super PAC to Air Attack Ads Against Bernie Sanders",0.2,-0.4,-0.44,-0.21,1174
"2020-01-29","Biden","politics","politics","On Politics: Biden Seizes on a Comment",0.0,0.0,-0.3,-0.1,1552
"2020-01-29","Biden","politics","politics","As Biden Makes Push in Iowa, His Ground Game May Have Some Gaps",0.0,-0.74,0.36,-0.13,1301
"2020-01-29","Warren","politics","politics","Elizabeth Warren’s Iowa Pivot: From Her Plans to Her Plan to Win",0.59,0.32,0.76,0.55,1673
"2020-01-29","Biden","politics","politics","Biden Aides Weigh Pursuing an Iowa Caucus Alliance With Klobuchar",0.0,0.84,0.64,0.5,660
"2020-01-27","Biden","washington","politics","Trump Denies Telling Bolton That Ukraine’s Aid Depended on Biden Investigations",-0.42,-0.23,0.34,-0.1,914
"2020-01-28","Buttigieg","politics","politics","How People of Color Inside the Buttigieg Campaign Sought to Be Heard",0.0,-0.46,0.61,0.05,2217
"2020-01-27","Sanders","politics","politics","Sanders shifts focus to turnout.",0.0,0.59,-0.61,-0.01,288
"2020-01-30","Bloomberg","politics","politics","Watch Bloomberg and Trump’s Very Different Super Bowl Ads",0.63,0.59,-0.05,0.39,1140
"2020-01-31","Bloomberg","politics","politics","Bloomberg Fueled His Campaign With $200 Million From His Own Fortune",0.0,0.49,0.0,0.16,1156
"2020-01-30","Sanders","politics","politics","Bernie Sanders Is Still Sad About the Dodgers",-0.48,0.0,0.0,-0.16,1530
"2020-01-30","Biden","oped","opinion","Why Having Hunter Biden Testify Would Be Bad for Trump",-0.54,0.4,0.27,0.04,1181
"2020-01-30","Biden","politics","politics","How Iowa Could Decide Joe Biden’s Fund-Raising Future",0.0,0.0,0.0,0.0,1674
"2020-01-31","Bloomberg","politics","politics","D.N.C. Rules Change for Nevada Debate Could Open Door for Bloomberg",0.0,0.4,0.2,0.2,1148
"2020-01-30","Biden","washington","politics","Requests for inquiries weren’t ‘necessarily’ about the Bidens, Trump lawyer says.",0.0,-0.42,-0.36,-0.26,237
"2020-01-30","Sanders","upshot","opinion","Bernie Sanders, and How Indian Food Can Predict Vote Choice",0.0,0.0,0.57,0.19,927
"2020-01-30","Warren","washington","politics","Warren puts Roberts on the spot over witnesses in the impeachment trial.",0.0,0.48,0.53,0.33,201
"2020-01-31","Sanders","styles","other","The Scent of Bernie Sanders",0.0,0.36,0.6,0.32,846
"2020-01-31","Biden","summary","other","Quotation of the Day: Iowa Could Make or Break Biden’s War Chest",-0.6,0.0,-0.27,-0.29,67
"2020-01-31","Sanders","politics","politics","Bernie Sanders’s Surge Owes a Lot to Voters of Color",0.0,-0.51,0.46,-0.02,1001
"2020-01-31","Sanders","oped","opinion","Bernie Sanders Can’t Win",0.59,-0.07,-0.4,0.04,954
"2020-01-31","Buttigieg","politics","politics","‘You Can’t Fake Those Kind of Skills’: Pete Buttigieg’s Charisma Test",-0.48,-0.72,0.13,-0.36,1688
"2020-02-01","Biden","washington","politics","Biden says his focus is on defeating Trump at the ballot box.",-0.38,0.0,-0.6,-0.33,220
"2020-02-01","Sanders","washington","politics","Fact-Checking Bernie Sanders Before the Iowa Caucuses",0.0,-0.1,-0.13,-0.08,1849
"2020-02-01","Biden","politics","politics","Why Jill Biden Is Taking Time Off to Help Her Husband Get a Job",0.4,0.69,-0.25,0.28,2065
"2020-02-03","Bloomberg","metro","other","He Worked for Obama and Bloomberg. Could He Be N.Y.C.’s Next Mayor?",0.0,0.0,0.0,0.0,845
"2020-02-03","Buttigieg","politics","politics","America Has Had a Year to Learn How to Say Buttigieg. And Yet.",0.0,0.0,0.0,0.0,828
"2020-02-03","Biden","oped","opinion","Joe Biden: A Really Nice Guy for President",0.48,0.08,0.4,0.32,1127
"2020-02-01","Sanders","politics","politics","Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016",0.0,0.0,0.78,0.26,846
"2020-02-03","Bloomberg","washington","politics","Impeachment All but Behind Him, Trump Celebrates and Keeps Focus on Bloomberg",0.72,-0.32,0.0,0.13,1043
"2020-02-01","Bloomberg","politics","politics","Bloomberg Proposes $5 Trillion in Taxes on the Rich and Corporations",0.56,0.28,0.02,0.29,996
"2020-02-04","Buttigieg","politics","politics","Buttigieg Seizes on an Opportunity as Democrats Jostle for Advantage",0.59,0.53,0.58,0.56,1291
"2020-02-05","Buttigieg","nytnow","other","Pete Buttigieg, Coronavirus, Tesla: Your Wednesday Briefing",0.0,0.0,0.0,0.0,1626
"2020-02-05","Biden","politics","politics","What Went Wrong for Joe Biden in Iowa",-0.48,-0.15,-0.87,-0.5,2102
"2020-02-06","Bloomberg","politics","politics","Bloomberg Pursues Wealthy Donors, but Not Their Checkbooks",0.19,0.75,0.0,0.31,1580
"2020-02-06","Sanders","politics","politics","What Are Iowa’s Satellite Caucuses? And How Did They Help Bernie Sanders?",0.47,0.34,0.0,0.27,1042
"2020-02-06","Sanders","politics","politics","Sanders Raises $25 Million in January, a Huge Show of Financial Strength",0.67,-0.05,0.25,0.29,1075
"2020-02-07","Buttigieg","politics","politics","How Pete Buttigieg Became the Surprise of the Iowa Caucuses",0.27,-0.08,0.23,0.14,1791
"2020-02-07","Buttigieg","politics","politics","The Latest New Hampshire Polls: Buttigieg Looks Competitive",0.18,0.42,0.46,0.35,1142
"2020-02-06","Biden","washington","politics","Republicans in Senate Press On With Investigation Into Hunter Biden",0.0,0.44,0.03,0.16,369
"2020-02-07","Bloomberg","washington","politics","Navy Secretary Pushed Out by Trump Says He’ll Endorse Bloomberg",0.32,-0.74,0.81,0.13,745
"2020-02-07","Biden","politics","politics","Joe Biden Shakes Up Campaign Leadership, Elevating Anita Dunn",0.0,-0.49,-0.81,-0.43,604
"2020-02-08","Biden","politics","politics","Wobbly After Iowa, Biden Confronts a Perilous Moment",-0.23,-0.79,0.23,-0.26,1745
"2020-02-09","Biden","washington","politics","Justice Dept. Reviewing Information From Giuliani on the Bidens, Graham Says",0.53,0.0,0.53,0.35,535
"2020-02-08","Biden","politics","politics","Biden Tells Voters to Look to the Past. (Just Not the Last Week.)",0.0,0.0,0.83,0.28,1435
"2020-02-08","Buttigieg","politics","politics","Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump",0.0,-0.34,-0.27,-0.2,569
"2020-02-11","Bloomberg","politics","politics","How the Founder of Black Voters Matter Thinks About Bloomberg",0.03,0.4,0.03,0.15,1012
"2020-02-11","Warren","politics","politics","Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",0.0,0.62,-0.78,-0.05,1130
"2020-02-10","Sanders","oped","opinion","Why Bernie Sanders Praised Amazon",0.6,-0.19,0.0,0.14,1109
"2020-02-11","Bloomberg","politics","politics","Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny",0.13,0.0,0.13,0.09,788
"2020-02-12","Biden","culture","other","Late Night Takes On Joe Biden’s Cold Shoulder in New Hampshire",0.0,0.32,0.95,0.42,675
"2020-02-12","Bloomberg","washington","politics","Trump Takes On Bloomberg and Once Again Hijacks a News Cycle",0.0,-0.3,-0.66,-0.32,1079
"2020-02-11","Sanders","oped","opinion","President Bernie Sanders?",0.0,0.7,0.0,0.23,1454
"2020-02-12","Warren","politics","politics","What’s Next for Elizabeth Warren? ‘My Job Is to Persist.’",0.0,0.15,0.08,0.07,1701
"2020-02-13","Bloomberg","washington","politics","‘Mass of Dead Energy’ vs. ‘Barking Clown’: Trump and Bloomberg Swap Insults",-0.8,0.51,-0.77,-0.35,487
"2020-02-12","Sanders","politics","politics","Centrist Democrats Want to Stop Sanders. They’re Not Sure Who Can.",-0.43,0.69,-0.83,-0.19,1853
"2020-02-12","Sanders","oped","opinion","I Worry About Sanders, and His Coattails",-0.44,0.87,0.0,0.14,867
"2020-02-12","Bloomberg","washington","politics","Responding to Critics, Bloomberg Omits Role in Expanding Stop-and-Frisk",-0.3,0.0,-0.32,-0.2,850
"2020-02-13","Sanders","oped","opinion","Bernie Sanders Isn’t a Socialist",0.0,-0.26,0.59,0.11,873
"2020-02-12","Sanders","washington","politics","Moderate Democrats Fear Bernie Sanders Could Cost Them the House",-0.49,-0.46,0.63,-0.11,1236
"2020-02-13","Bloomberg","politics","politics","The Bloomberg Campaign Is a Waterfall of Cash",0.0,-0.17,0.5,0.11,1919
"2020-02-11","Warren","politics","politics","Elizabeth Warren Is Running Her Race. The Real One May Be Passing Her By.",0.0,0.3,0.0,0.1,1432
"2020-02-12","Sanders","politics","politics","Bernie Sanders Scores Narrow Victory in New Hampshire Primary",0.0,0.0,0.88,0.29,1873
"2020-02-12","Sanders","business","business","A Wall St. Giant Says Sanders Would ‘Ruin’ the Economy",0.0,0.18,0.85,0.34,1117
"2020-02-13","Bloomberg","oped","opinion","The Notorious Michael R. Bloomberg",-0.44,-0.71,-0.77,-0.64,1140
"2020-02-12","Biden","politics","politics","For Joe Biden, Two Bad Losses and a Precarious Path Forward",-0.74,-0.36,-0.62,-0.57,1224
"2020-02-12","Bloomberg","oped","opinion","Paging Michael Bloomberg",0.0,0.54,-0.57,-0.01,1465
"2020-02-13","Bloomberg","styles","other","Michael Bloomberg’s Campaign Suddenly Drops Memes Everywhere",0.0,0.0,0.36,0.12,889
"2020-02-12","Sanders","oped","opinion","Bernie Sanders, Front-Runner",0.0,0.53,0.0,0.18,721
"2020-02-13","Bloomberg","politics","politics","Bloomberg Once Linked 2008 Crisis to End of Redlining Bias in Home Loans",-0.67,-0.59,-0.88,-0.71,1662
"2020-02-12","Sanders","oped","opinion","Bernie Sanders Has Already Won",0.57,0.4,0.89,0.62,1061
"2020-02-13","Biden","politics","politics","Biden Needs Black Voters to Lift His Campaign. But He Has Competition.",0.0,-0.25,0.85,0.2,1710
"2020-02-13","Sanders","politics","politics","As Sanders Rises, Some Democrats Are Jittery About Possible Consequences",0.0,-0.44,0.44,0.0,1468
"2020-02-13","Bloomberg","letters","other","Is Bloomberg the Democrats’ Best Hope?",0.8,-0.4,0.0,0.13,534
"2020-02-14","Buttigieg","politics","politics","What Being a Mayor Taught Pete Buttigieg",0.0,-0.34,-0.83,-0.39,2782
"2020-02-15","Bloomberg","oped","opinion","Bloomberg Is Right About the 2008 Financial Crash",-0.4,0.38,0.82,0.27,1288
"2020-02-15","Bloomberg","oped","opinion","The Bloomberg Temptation",0.0,0.0,0.59,0.2,862
"2020-02-15","Buttigieg","politics","politics","Pete Buttigieg’s Dash for Cash: 10 Fund-Raisers in Two Weeks",0.0,0.75,0.69,0.48,1264
"2020-02-14","Bloomberg","oped","opinion","Mike Bloomberg Is Hacking Your Attention",0.0,-0.57,-0.15,-0.24,1317
"2020-02-14","Sanders","politics","politics","Bernie Sanders Is on the Rise. But How High Can His Numbers Go?",0.0,0.08,0.46,0.18,1187
"2020-02-14","Bloomberg","culture","other","Trump and Bloomberg’s Twitter Fight: ‘Like if a Rap Battle Was on CNBC’",-0.64,0.0,0.95,0.11,739
"2020-02-14","Sanders","politics","politics","Bill de Blasio Endorses Bernie Sanders",0.34,0.0,-0.32,0.01,408
"2020-02-16","Sanders","politics","politics","The Next Hurdle for Bernie Sanders: Nevada’s Top Union Dislikes ‘Medicare for All’",-0.23,0.0,0.65,0.14,1610
"2020-02-17","Biden","oped","opinion","Did Biden Scare Off Our Next President?",-0.49,0.31,0.65,0.15,860
"2020-02-17","Bloomberg","politics","politics","Past Remarks Are Challenging for Bloomberg, and Fair Game for Rivals",0.44,-0.23,-0.62,-0.14,1281
"2020-02-17","Bloomberg","business","business","Bloomberg News’s Dilemma: How to Cover a Boss Seeking the Presidency",-0.18,-0.03,0.0,-0.07,1382
"2020-02-17","Biden","politics","politics","Biden, Seeking Revival, Is Counting on at Least Second Place in Nevada",0.0,0.0,0.05,0.02,1608
"2020-02-16","Bloomberg","politics","politics","Democrats Look Ahead From Nevada and See a Common Enemy: Bloomberg",-0.54,0.75,0.0,0.07,1501
"2020-02-17","Bloomberg","politics","politics","On Politics: Bloomberg Under the Microscope",0.0,0.0,0.0,0.0,1292
"2020-02-18","Bloomberg","oped","opinion","The Trumpian Liberalism of Michael Bloomberg",0.0,0.0,0.67,0.22,1149
"2020-02-19","Bloomberg","oped","opinion","I Was the Judge in the Stop-and-Frisk Case. I Don’t Think Bloomberg Is Racist.",-0.61,-0.3,-0.84,-0.58,992
"2020-02-18","Bloomberg","politics","politics","On Politics: Bloomberg’s in the Debate",0.0,0.0,-100,0.0,1270
"2020-02-18","Bloomberg","podcasts","other","Michael Bloomberg’s Not-So-Secret Weapon",-0.3,0.21,0.0,-0.03,287
"2020-02-19","Bloomberg","politics","politics","When Did Bloomberg Turn Against Stop-and-Frisk? When He Ran for President.",0.0,0.0,0.04,0.01,3438
"2020-02-19","Bloomberg","metro","other","What to Watch For as Michael Bloomberg Debates",0.0,0.0,0.0,0.0,1260
"2020-02-18","Bloomberg","politics","politics","Michael Bloomberg Surges in Polls and Qualifies for 2 Democratic Debates",0.0,0.23,0.0,0.08,1086
"2020-02-17","Bloomberg","nytnow","other","Coronavirus, Michael Bloomberg, Mississippi Flooding: Your Monday Briefing",0.0,0.0,0.0,0.0,1412
"2020-02-18","Bloomberg","nytnow","other","Coronavirus, Michael Bloomberg, Boy Scouts: Your Tuesday Briefing",0.0,0.0,0.0,0.0,1495
"2020-02-19","Warren","politics","politics","Elizabeth Warren, Long a Super PAC Critic, Gets Help From One",0.67,0.78,0.86,0.77,479
"2020-02-18","Warren","politics","politics","How Elizabeth Warren’s Camp Is Seeking to Regain the Spotlight",0.0,-0.25,0.53,0.09,1655
"2020-02-18","Bloomberg","business","business","Michael Bloomberg Leans Left With Plan to Rein In Wall St.",0.0,0.0,0.4,0.13,1389
"2020-02-19","Buttigieg","politics","politics","Watchdog Says Buttigieg Campaign Exploited Super PAC Loophole",0.23,0.35,0.46,0.35,1585
"2020-02-19","Sanders","upshot","opinion","Sanders Gains in Post-New Hampshire Polling",0.34,0.74,0.79,0.62,1180
"2020-02-19","Bloomberg","oped","opinion","Bloomberg’s Debate Downer",0.0,0.0,0.27,0.09,928
"2020-02-18","Buttigieg","washington","politics","Fact-Checking Pete Buttigieg Before the Nevada Caucuses",0.0,-0.89,0.74,-0.05,2280
"2020-02-19","Buttigieg","politics","politics","Pete Buttigieg Hoped to Win Over Voters of Color. It Still Hasn’t Happened.",0.75,0.73,0.42,0.63,1499
"2020-02-21","Biden","politics","politics","Biden Adds a Claim to His Biography: An Arrest in South Africa",-0.34,-0.48,-0.61,-0.48,1266
"2020-02-20","Warren","politics","politics","Elizabeth Warren ‘Crushed’ the Debate. But Is It Too Late?",0.0,0.44,0.0,0.15,1450
"2020-02-20","Sanders","politics","politics","Democrats Pile on Bernie Sanders as Urgency Grows",0.0,-0.1,-0.51,-0.2,1074
"2020-02-21","Bloomberg","politics","politics","How Bloomberg Bungled a Debate That He Had Been Prepped For",0.0,0.15,-0.25,-0.03,1639
"2020-02-21","Sanders","washington","politics","Russia Is Said to Be Interfering to Aid Sanders in Democratic Primaries",0.0,-0.48,0.49,0.01,1136
"2020-02-21","Warren","politics","politics","On Politics: Is Warren Back in It?",0.0,0.0,0.0,0.0,1470
"2020-02-20","Bloomberg","business","business","Bloomberg’s Bruising Debate Dents His Odds",0.0,0.49,0.08,0.19,1376
"2020-02-20","Bloomberg","nytnow","other","Hanau, Coronavirus, Michael Bloomberg: Your Thursday Briefing",0.0,0.0,0.0,0.0,1474
"2020-02-21","Warren","oped","opinion","Elizabeth Warren’s Big Strengths",0.4,-0.42,0.0,-0.01,712
